AID,Sex,MinAge,SurveyDate,avg TOO_TOHcm,avg TOH_NIcm,avg NI_FBHcm,TH,VTB_Umb,age_class_mid_mo,age_months_initial,age_months,VTB_Umb_Flag,age_at_first_months
1144.0,F,A,2015-09-14,12.8,162.7,,,0.0,60.0,60.0,65.09404912925115,Umb=0,29.89668070819852
1144.0,F,A,2016-01-21,14.75,163.1,,,0.0,60.0,60.0,69.33747018188274,Umb=0,29.89668070819852
1144.0,F,A,2016-09-23,16.4,153.3,,,0.0,60.0,60.0,77.42957544504063,Umb=0,29.89668070819852
1144.0,F,A,2017-05-26,12.5,160.25,,,0.0,60.0,60.0,85.48878597135642,Umb=0,29.89668070819852
1144.0,F,A,2017-06-04,14.3,168.7,,,0.0,60.0,60.0,85.78483860293537,Umb=0,29.89668070819852
1144.0,F,A,2018-01-24,16.1,139.7,,,0.0,60.0,60.0,93.482207023988,Umb=0,29.89668070819852
1144.0,F,A,2018-06-06,12.0,151.6,,,0.0,60.0,60.0,97.857207023988,Umb=0,29.89668070819852
1145.0,M,A,2017-09-19,23.2,218.9,287.2,529.3,0.0,60.0,60.0,124.58751310687238,Umb=0,124.58751310687238
1145.0,M,A,2018-10-02,8.3,193.0,215.7,417.0,0.0,60.0,60.0,137.02172363318817,Umb=0,124.58751310687238
1146.0,M,A,2012-05-20,17.7,177.2,,,0.0,60.0,60.0,44.82611532169516,Umb=0,44.82611532169516
1146.0,M,A,2013-05-18,22.0,176.7,,,0.0,60.0,60.0,56.766904795379375,Umb=0,44.82611532169516
1146.0,M,A,2014-02-09,17.766666666666666,172.23333333333335,,,0.0,60.0,60.0,65.54979953222147,Umb=0,44.82611532169516
1146.0,M,A,2016-02-04,22.46666666666667,226.9,,,0.0,60.0,60.0,89.3984837427478,Umb=0,44.82611532169516
1146.0,M,A,2016-05-14,19.5,209.0,,,0.0,60.0,60.0,92.68795742695832,Umb=0,44.82611532169516
1146.0,M,A,2017-01-22,21.8,215.0,,,0.0,60.0,60.0,101.01032584801095,Umb=0,44.82611532169516
1146.0,M,A,2017-09-19,19.1,213.4,237.3,469.8,0.0,60.0,60.0,108.90506269011621,Umb=0,44.82611532169516
1146.0,M,A,2018-01-24,28.1,220.1,,,0.0,60.0,60.0,113.08269426906358,Umb=0,44.82611532169516
1147.0,M,A,2012-05-20,13.9,192.8,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1148.0,M,C,2012-10-09,18.5,102.95,,,0.0,1.0,1.0,1.0,Umb=0,1.0
1148.0,M,C,2013-09-22,13.55,138.05,,,0.0,1.0,1.0,12.447368421052632,Umb=0,1.0
1148.0,M,C,2014-02-09,14.9,143.5,,,0.0,1.0,1.0,17.05263157894737,Umb=0,1.0
1148.0,M,C,2014-09-20,16.7,159.3,,,0.0,1.0,1.0,24.388157894736842,Umb=0,1.0
1149.0,F,A,2012-05-20,13.5,198.8,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1149.0,F,A,2012-10-09,12.8,200.1,,,0.0,60.0,60.0,64.67105263157895,Umb=0,60.0
1150.0,F,A,2012-05-20,16.5,189.0,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1150.0,F,A,2014-02-09,12.5,187.5,,,0.0,60.0,60.0,80.72368421052632,Umb=0,60.0
1150.0,F,A,2014-09-20,13.3,185.8,,,0.0,60.0,60.0,88.0592105263158,Umb=0,60.0
1151.0,M,SA,2012-05-20,16.5,153.0,,,0.0,10.5,10.5,10.5,Umb=0,10.5
1152.0,M,C,2012-05-20,13.9,99.9,,,0.0,1.0,1.0,1.0,Umb=0,1.0
1152.0,M,C,2013-05-18,14.75,102.7,,,0.0,1.0,1.0,12.94078947368421,Umb=0,1.0
1152.0,M,C,2016-01-21,21.4,155.8,,,0.0,1.0,1.0,45.11184210526316,Umb=0,1.0
1152.0,M,C,2016-05-14,22.0,147.9,,,0.0,1.0,1.0,48.86184210526316,Umb=0,1.0
1152.0,M,C,2016-06-12,18.9,145.3,,,0.0,1.0,1.0,49.81578947368421,Umb=0,1.0
1152.0,M,C,2017-06-04,21.2,190.3,,,0.0,1.0,1.0,61.559210526315795,Umb=0,1.0
1153.0,M,A,2012-05-20,25.1,335.0,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1154.0,F,A,2012-05-20,11.6,170.3,,,0.0,60.0,60.0,60.0,Umb=0,60.0
1155.0,F,A,2012-05-20,11.3,180.9,,,0.0,60.0,60.0,64.07499637723086,Umb=0,64.07499637723086
1155.0,F,A,2013-01-21,12.45,188.25,,,0.0,60.0,60.0,72.16710164038875,Umb=0,64.07499637723086
1155.0,F,A,2013-02-05,11.7,185.9,,,0.0,60.0,60.0,72.66052269302034,Umb=0,64.07499637723086
