context,measurement,descriptor,group,model,success,aic,sse,n_obs,message,is_selected,params
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,gompertz,True,6598.645125987178,742095.5917253066,997,,True,"A=218.1 [215.2, 221.1]; k=0.05284 [0.04304, 0.06264]; t0=-16.73 [-20.71, -12.75]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,logistic,True,6597.629028400192,741339.666521752,997,,False,"A=217.8 [215, 220.7]; k=0.05865 [0.0481, 0.06919]; t0=-11.76 [-14.99, -8.541]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,poly3,True,6595.583876861507,738337.9053404498,997,,False,a3=0.000101; a2=-0.02848; a1=2.523; a0=146.7
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,richards,True,6597.262988013329,739582.4348982398,997,,False,"A=216.7 [214.1, 219.3]; k=0.1177 [0.02389, 0.2116]; t0=11.62 [-6.16, 29.4]; nu=9.883 [-2.188, 21.95]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),F,von_bertalanffy,True,6599.052477759169,742398.8572397924,997,,False,"A=218.2 [215.3, 221.2]; k=0.05094 [0.04138, 0.06051]; t0=-40.15 [-48.37, -31.92]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,gompertz,True,3933.239487414099,589890.42633148,565,,True,"A=253.1 [245.6, 260.6]; k=0.02944 [0.02301, 0.03587]; t0=-21.13 [-26.39, -15.88]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,logistic,True,3934.9478271733215,591676.7242108183,565,,False,"A=251.3 [244.6, 258.1]; k=0.03473 [0.02773, 0.04173]; t0=-10.79 [-14.43, -7.148]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,poly3,True,3924.152479600009,578427.8263628066,565,,False,a3=8.875e-05; a2=-0.02553; a1=2.617; a0=146.5
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,richards,True,3935.2569578298953,589908.6666683906,565,,False,"A=253 [241.7, 264.4]; k=0.02949 [0.005299, 0.05369]; t0=-21.01 [-74.53, 32.51]; nu=0.01 [-4.443, 4.463]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,foreleg length (avg NI_FBHcm),M,von_bertalanffy,True,3932.6542111502968,589279.6827791486,565,,False,"A=253.8 [245.9, 261.6]; k=0.02772 [0.02146, 0.03398]; t0=-64.93 [-79.69, -50.18]"
