Context,Measurement,Group,Rank,Model,AIC,ΔAIC,Akaike Weight,SSE,N,Selected,Parameters
wild_TH_sex_unknown,TH,overall,4,richards,499.9507753422843,2.000165396829857,0.12475754198117235,66790.476136126,72,,"A=313.1 [-93.05, 719.2]; k=0.1493 [-2.862, 3.16]; t0=-7.502 [-274, 259]; nu=0.01 [-133.4, 133.4]"
wild_TH_sex_unknown,TH,overall,5,von_bertalanffy,512.6613698706683,14.710759925213836,0.00021676855214390205,81930.74444444447,72,,"A=243.4 [235.5, 251.4]; k=0.1969 [0.1969, 0.1969]; t0=-189.6 [-189.6, -189.6]"
wild_alignment_seed_TH_by_sex,TH,F,1,logistic,7592.270446435009,0.0,0.28798275796565487,2064666.667582812,993,,"A=415.2 [410.5, 419.8]; k=0.06114 [0.05269, 0.0696]; t0=-8.207 [-10.32, -6.096]"
wild_alignment_seed_TH_by_sex,TH,F,2,gompertz,7592.762676893925,0.49223045891631045,0.2251541729604918,2065690.3773018788,993,✓,"A=415.9 [411.1, 420.7]; k=0.05429 [0.04654, 0.06204]; t0=-13.4 [-16.06, -10.74]"
wild_alignment_seed_TH_by_sex,TH,F,3,von_bertalanffy,7593.06606482691,0.7956183919013711,0.19346399333881611,2066321.597121736,993,,"A=416.2 [411.3, 421.1]; k=0.05206 [0.04453, 0.05959]; t0=-36.47 [-42.31, -30.63]"
wild_alignment_seed_TH_by_sex,TH,F,4,poly3,7593.159371279955,0.8889248449459046,0.18464557702026088,2062357.7884997027,993,,a3=0.0002165; a2=-0.06081; a1=5.398; a0=262.3
wild_alignment_seed_TH_by_sex,TH,F,5,richards,7594.218079972265,1.9476335372555695,0.10875349871477641,2064557.788993378,993,,"A=414.9 [409.5, 420.2]; k=0.0646 [0.03409, 0.0951]; t0=-5.986 [-22.96, 10.99]; nu=1.493 [-2.348, 5.333]"
wild_alignment_seed_TH_by_sex,TH,M,1,poly3,4547.5122223294575,0.0,0.9697448367154213,1787549.7754982975,563,,a3=0.0001724; a2=-0.05154; a1=5.563; a0=258
wild_alignment_seed_TH_by_sex,TH,M,2,von_bertalanffy,4555.651346084234,8.139123754776847,0.016567966540595763,1820033.563566489,563,,"A=496.7 [482.7, 510.7]; k=0.02763 [0.02272, 0.03254]; t0=-59.32 [-70.05, -48.58]"
wild_alignment_seed_TH_by_sex,TH,M,3,gompertz,4556.878022850557,9.365800521099118,0.00897221627044451,1824003.4159021524,563,✓,"A=494.9 [481.5, 508.3]; k=0.02962 [0.02455, 0.03469]; t0=-15.06 [-18.43, -11.7]"
wild_alignment_seed_TH_by_sex,TH,M,4,richards,4558.914747966074,11.402525636616701,0.0032406378044338353,1824122.4015522597,563,,"A=494.8 [474.7, 514.9]; k=0.02968 [0.01074, 0.04862]; t0=-14.93 [-53.04, 23.17]; nu=0.01 [-2.942, 2.962]"
wild_alignment_seed_TH_by_sex,TH,M,5,logistic,4560.489863808584,12.97764147912676,0.0014743426691045725,1835742.648046376,563,,"A=490.6 [478.7, 502.5]; k=0.03576 [0.03015, 0.04137]; t0=-4.201 [-6.626, -1.776]"
wild_alignment_seed_TH_overall,TH,overall,1,poly3,12889.773523673965,0.0,0.9999999973142919,4447020.3522920925,1628,,a3=0.0002543; a2=-0.06683; a1=5.886; a0=254.7
wild_alignment_seed_TH_overall,TH,overall,2,von_bertalanffy,12929.978892364325,40.20536869036005,1.8600093025446227e-09,4563815.297722524,1628,,"A=440.5 [435.1, 445.9]; k=0.04102 [0.03647, 0.04557]; t0=-43.35 [-48.45, -38.25]"
wild_alignment_seed_TH_overall,TH,overall,3,gompertz,12932.258140291986,42.48461661802139,5.950900890379852e-10,4570209.248311349,1628,✓,"A=439.7 [434.5, 445]; k=0.04333 [0.03863, 0.04804]; t0=-13.78 [-15.78, -11.79]"
wild_alignment_seed_TH_overall,TH,overall,4,richards,12934.32682483603,44.5533011620646,2.1153078262257045e-10,4570402.067328671,1628,,"A=439.7 [432.8, 446.6]; k=0.0434 [0.02734, 0.05946]; t0=-13.71 [-31.36, 3.954]; nu=0.01 [-2.172, 2.192]"
wild_alignment_seed_TH_overall,TH,overall,5,logistic,12939.138510911072,49.364987237107925,1.9077840813180827e-11,4589565.06780654,1628,,"A=437.9 [432.9, 442.8]; k=0.05045 [0.04524, 0.05567]; t0=-6.746 [-8.219, -5.272]"
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,1,poly3,6595.583876861507,0.0,0.4577719418025396,738337.9053404498,997,,a3=0.000101; a2=-0.02848; a1=2.523; a0=146.7
wild_alignment_seed_avg NI_FBHcm_by_sex,avg NI_FBHcm,F,2,richards,6597.262988013329,1.679111151822326,0.19771281342116606,739582.4348982398,997,,"A=216.7 [214.1, 219.3]; k=0.1177 [0.02389, 0.2116]; t0=11.62 [-6.16, 29.4]; nu=9.883 [-2.188, 21.95]"
