Context,Measurement,Group,Rank,Model,AIC,ΔAIC,Akaike Weight,SSE,N,Selected,Parameters
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,1,von_bertalanffy,34313.89386289791,0.0,0.5416536184340937,2327061.676985562,5708,,"A=184.7 [183.5, 186]; k=0.03688 [0.03477, 0.03899]; t0=-45.82 [-48.72, -42.91]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,2,poly3,34314.824799039525,0.9309361416162574,0.3400724373517794,2326625.877304592,5708,,a3=7.89e-05; a2=-0.02312; a1=2.321; a0=101.3
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,3,gompertz,34317.53462887151,3.6407659735996276,0.08772822908436637,2328546.433381848,5708,✓,"A=184.3 [183.1, 185.6]; k=0.039 [0.03682, 0.04118]; t0=-12.9 [-14.04, -11.75]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,4,richards,34319.65152653389,5.757663635980862,0.030441137435499786,2328594.1216127714,5708,,"A=184.3 [182.6, 186.1]; k=0.03906 [0.0319, 0.04623]; t0=-12.81 [-22.17, -3.45]; nu=0.01 [-1.013, 1.033]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,F,5,logistic,34330.99876632758,17.10490342967387,0.00010457769426085238,2334045.5355247045,5708,,"A=183.4 [182.3, 184.5]; k=0.04546 [0.04307, 0.04786]; t0=-5.049 [-5.93, -4.169]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,1,von_bertalanffy,22130.107779235663,0.0,0.6044326203715491,2035362.919124144,3471,,"A=217.6 [214.8, 220.5]; k=0.02824 [0.02637, 0.0301]; t0=-52.86 [-56.46, -49.26]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,2,poly3,22131.520636396275,1.4128571606124751,0.2982289917572698,2035018.6530066044,3471,,a3=5.174e-05; a2=-0.01911; a1=2.465; a0=101.8
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,3,gompertz,22134.351815782626,4.244036546962889,0.07240475159155052,2037853.1057446452,3471,✓,"A=216.6 [213.9, 219.3]; k=0.03052 [0.02859, 0.03244]; t0=-9.336 [-10.35, -8.321]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,4,richards,22136.486914439072,6.3791352034095326,0.024896384664504598,2037932.424838432,3471,,"A=216.6 [212.6, 220.6]; k=0.03058 [0.0238, 0.03737]; t0=-9.206 [-20.99, 2.577]; nu=0.01 [-0.8864, 0.9064]"
wild_avg TOH_NIcm_by_sex,avg TOH_NIcm,M,5,logistic,22149.496479588564,19.38870035290165,3.725161512583612e-05,2046764.0904859984,3471,,"A=214.2 [211.8, 216.5]; k=0.03748 [0.03535, 0.03961]; t0=1.564 [0.7067, 2.422]"
wild_avg TOH_NIcm_by_vtb_umb,avg TOH_NIcm,Umb=0,1,gompertz,58826.06110905416,0.0,1.0,5088788.159769925,9335,✓,"A=193.8 [192.6, 195]; k=0.03661 [0.035, 0.03822]; t0=-11.45 [-12.24, -10.66]"
wild_avg TOH_NIcm_by_vtb_umb,avg TOH_NIcm,Umb>0,1,gompertz,539.9695940335022,0.0,1.0,28975.561046616807,93,✓,"A=161.6 [145.1, 178.2]; k=0.08446 [0.04833, 0.1206]; t0=-3.337 [-5.148, -1.526]"
wild_avg TOH_NIcm_overall,avg TOH_NIcm,overall,1,poly3,59357.93571196049,0.0,0.9999999983309225,5108983.071391395,9428,,a3=8.583e-05; a2=-0.02501; a1=2.538; a0=99.54
wild_avg TOH_NIcm_overall,avg TOH_NIcm,overall,2,von_bertalanffy,59398.3602032641,40.4244913036091,1.6669909643912653e-09,5132024.480104533,9428,,"A=194.2 [193, 195.4]; k=0.03479 [0.03324, 0.03634]; t0=-46.13 [-48.33, -43.92]"
wild_avg TOH_NIcm_overall,avg TOH_NIcm,overall,3,gompertz,59412.2473431074,54.31163114691299,1.6083447439843655e-12,5139589.356641283,9428,✓,"A=193.6 [192.4, 194.8]; k=0.03711 [0.0355, 0.03871]; t0=-11.03 [-11.79, -10.27]"
wild_avg TOH_NIcm_overall,avg TOH_NIcm,overall,4,richards,59414.67308437307,56.737372412579134,4.782292341814435e-13,5139821.450901299,9428,,"A=193.6 [191.9, 195.3]; k=0.03718 [0.03179, 0.04257]; t0=-10.93 [-18.13, -3.735]; nu=0.01 [-0.6943, 0.7143]"
wild_avg TOH_NIcm_overall,avg TOH_NIcm,overall,5,logistic,59456.51990742218,98.5841954616917,3.9148394253058655e-22,5163780.902261704,9428,,"A=192.2 [191.2, 193.3]; k=0.04419 [0.04241, 0.04597]; t0=-2.403 [-2.981, -1.826]"
wild_avg TOH_NIcm_sex_unknown,avg TOH_NIcm,overall,1,von_bertalanffy,1463.8312512491614,0.0,0.29099144571221275,86872.50624703843,249,,"A=164.7 [130.1, 199.3]; k=0.07492 [0.02465, 0.1252]; t0=-21.75 [-33.4, -10.1]"
wild_avg TOH_NIcm_sex_unknown,avg TOH_NIcm,overall,2,gompertz,1463.9674888636305,0.13623761446910976,0.2718295086472828,86920.05058994064,249,✓,"A=163.5 [131.3, 195.7]; k=0.08189 [0.03166, 0.1321]; t0=-5.35 [-7.27, -3.43]"
wild_avg TOH_NIcm_sex_unknown,avg TOH_NIcm,overall,3,logistic,1464.3686090354558,0.5373577862944785,0.22243056320427765,87060.18506168149,249,,"A=160.8 [133.7, 187.9]; k=0.1033 [0.05285, 0.1538]; t0=-1.4 [-4.224, 1.425]"
wild_avg TOH_NIcm_sex_unknown,avg TOH_NIcm,overall,4,poly3,1465.688818929667,1.8575676805055537,0.11495146896687193,86822.82787625538,249,,a3=0.002078; a2=-0.1547; a1=5.105; a0=85.19
wild_avg TOH_NIcm_sex_unknown,avg TOH_NIcm,overall,5,richards,1465.9715624748585,2.1403112256971326,0.09979701346935486,86921.47260355667,249,,"A=163.5 [95.2, 231.7]; k=0.0821 [-0.2395, 0.4037]; t0=-5.302 [-71.71, 61.11]; nu=0.01 [-13.71, 13.73]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,1,von_bertalanffy,29710.729297428275,0.0,0.49130974803870014,1059881.6977757416,5681,,"A=16.66 [16.24, 17.08]; k=0.1158 [-0.09914, 0.3307]; t0=-27.64 [-83.79, 28.52]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,2,poly3,29710.89864313101,0.1693457027358818,0.45142169685599265,1059540.2148679332,5681,,a3=3.117e-06; a2=-0.0009608; a1=0.07623; a0=15.18
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,3,logistic,29716.72403811829,5.994740690013714,0.024525280318324655,1061000.7031311078,5681,,"A=18.27 [-172.8, 209.3]; k=0.001835 [-0.1717, 0.1754]; t0=-1141 [-5.737e+04, 5.508e+04]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,4,gompertz,29716.75716498084,6.027867552566022,0.024122403247226396,1061006.890021962,5681,✓,"A=19.46 [-491, 530]; k=0.001096 [-0.17, 0.1722]; t0=-1568 [-1.132e+05, 1.1e+05]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,F,5,richards,29718.815074616334,8.085777188058273,0.008620871539756325,1061017.7055184264,5681,,"A=40.18 [-6.825e+04, 6.833e+04]; k=0.0002994 [-1.282, 1.282]; t0=912.9 [-710, 2536]; nu=0.7814 [-7511, 7512]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,1,richards,18532.17216558301,0.0,0.500004984160454,743599.5085402345,3447,,"A=22.07 [21.39, 22.76]; k=0.2993 [-1.104, 1.703]; t0=23.58 [-19.78, 66.95]; nu=24.8 [-100.6, 150.2]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,2,poly3,18534.234893218912,2.0627276359009556,0.1782619769215579,744044.6208939621,3447,,a3=9.752e-06; a2=-0.003086; a1=0.2865; a0=14.27
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,3,logistic,18534.61160907337,2.4394434903588262,0.1476576356697304,744557.8185845235,3447,,"A=22.22 [21.4, 23.04]; k=0.06399 [0.03514, 0.09284]; t0=-8.255 [-14.88, -1.627]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,4,gompertz,18535.510533278783,3.3383676957710122,0.09420132231593165,744752.0130506436,3447,✓,"A=22.25 [21.4, 23.11]; k=0.05637 [0.03001, 0.08273]; t0=-13.44 [-21.99, -4.893]"
wild_avg TOO_TOHcm_by_sex,avg TOO_TOHcm,M,5,von_bertalanffy,18535.840498903784,3.6683333207729447,0.07987408093232604,744823.3081843073,3447,,"A=22.27 [21.39, 23.14]; k=0.05389 [0.02831, 0.07948]; t0=-35.81 [-54.56, -17.06]"
wild_avg TOO_TOHcm_by_vtb_umb,avg TOO_TOHcm,Umb=0,1,gompertz,49308.47992466705,0.0,1.0,1880391.1060402167,9283,✓,"A=18.43 [18.04, 18.83]; k=0.0789 [0.02827, 0.1295]; t0=-18.41 [-32.39, -4.434]"
wild_avg TOO_TOHcm_by_vtb_umb,avg TOO_TOHcm,Umb>0,1,gompertz,559.1270479929634,0.0,1.0,35603.60442984573,93,✓,"A=18.79 [13.16, 24.43]; k=1.061 [-5.486, 7.609]; t0=0.4742 [-2.959, 3.908]"
wild_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,1,poly3,49887.36848347373,0.0,0.40042467345777844,1916108.812792373,9376,,a3=9.244e-06; a2=-0.002382; a1=0.1759; a0=14.82
wild_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,2,richards,49887.63040042612,0.26191695238958346,0.35127422680162723,1916162.3397111509,9376,,"A=18.4 [18.05, 18.75]; k=0.9166 [-15.26, 17.09]; t0=18.96 [-55.37, 93.28]; nu=99.87 [-1690, 1890]"
wild_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,3,logistic,49890.3088328834,2.9403494096695795,0.09205175403416105,1917118.70415662,9376,,"A=18.42 [18.04, 18.81]; k=0.08626 [0.03266, 0.1399]; t0=-15.31 [-27.11, -3.511]"
wild_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,4,gompertz,49890.58898594618,3.220502472453518,0.08001982618947355,1917175.9881477451,9376,✓,"A=18.43 [18.03, 18.82]; k=0.08135 [0.02998, 0.1327]; t0=-17.66 [-30.88, -4.439]"
wild_avg TOO_TOHcm_overall,avg TOO_TOHcm,overall,5,von_bertalanffy,49890.68603724304,3.3175537693095976,0.07622951951695969,1917195.8330047124,9376,,"A=18.43 [18.03, 18.82]; k=0.07972 [0.02908, 0.1304]; t0=-32.28 [-54.64, -9.918]"
wild_avg TOO_TOHcm_sex_unknown,avg TOO_TOHcm,overall,1,logistic,1409.548936164715,0.0,0.25884326755747067,71175.23849444017,248,,"A=19.16 [13.75, 24.57]; k=0.8522 [-4.157, 5.862]; t0=-0.4336 [-8.328, 7.461]"
wild_avg TOO_TOHcm_sex_unknown,avg TOO_TOHcm,overall,2,gompertz,1409.5684288262623,0.019492661547246826,0.25633274949606255,71180.83304831179,248,✓,"A=19.13 [13.7, 24.57]; k=0.8121 [-4.149, 5.773]; t0=-0.675 [-10.34, 8.994]"
wild_avg TOO_TOHcm_sex_unknown,avg TOO_TOHcm,overall,3,von_bertalanffy,1409.5749340948298,0.02599793011472684,0.2555003472908571,71182.7002116545,248,,"A=19.12 [13.68, 24.57]; k=0.7999 [-4.152, 5.752]; t0=-2.13 [-20.9, 16.64]"
wild_avg TOO_TOHcm_sex_unknown,avg TOO_TOHcm,overall,4,poly3,1411.1562351226514,1.6072989579363366,0.11588209537160249,71062.62368591613,248,,a3=0.004165; a2=-0.198; a1=2.218; a0=12.9
wild_avg TOO_TOHcm_sex_unknown,avg TOO_TOHcm,overall,5,richards,1411.1988063513277,1.6498701866125884,0.11344154028400717,71074.82321361886,248,,"A=19.57 [14.1, 25.05]; k=7.008 [-906.2, 920.3]; t0=4.232 [-67.17, 75.63]; nu=97.15 [-1.271e+04, 1.29e+04]"
zoo_height_cm_by_sex,height_cm,F,1,von_bertalanffy,126.20466386196276,0.0,0.32658514878060774,6428.8699172910565,21,,"A=452.9 [417.9, 487.9]; k=0.045 [0.03461, 0.0554]; t0=-29.59 [-36.15, -23.04]"
zoo_height_cm_by_sex,height_cm,F,2,gompertz,126.59601773426716,0.391353872304407,0.2685437307203244,6549.801015658128,21,✓,"A=451.1 [416.3, 485.9]; k=0.04975 [0.03864, 0.06085]; t0=-1.866 [-3.958, 0.2248]"
zoo_height_cm_by_sex,height_cm,F,3,poly3,127.39129401167342,1.1866301497106662,0.18043590765103976,6184.6280931440815,21,,a3=0.0005244; a2=-0.1344; a1=9.721; a0=178.9
zoo_height_cm_by_sex,height_cm,F,4,logistic,128.10508205575076,1.9004181937879991,0.12627746769746184,7037.794752267416,21,,"A=445.2 [410.4, 480.1]; k=0.06565 [0.0519, 0.07939]; t0=5.422 [2.523, 8.322]"
zoo_height_cm_by_sex,height_cm,F,5,richards,128.60889361862448,2.404229756661721,0.09815774515056638,6553.818174707458,21,,"A=451 [412.4, 489.7]; k=0.04989 [0.005203, 0.09458]; t0=-1.775 [-28.97, 25.42]; nu=0.01 [-2.946, 2.966]"
zoo_height_cm_by_sex,height_cm,M,1,poly3,308.6499817184504,0.0,0.9996934142311689,12017.285663919834,56,✓,a3=0.0007574; a2=-0.1571; a1=10.43; a0=203.3
zoo_height_cm_by_sex,height_cm,M,2,von_bertalanffy,325.23022450221464,16.58024278376422,0.0002509070453543395,16745.610010708435,56,,"A=489.7 [460, 519.4]; k=0.04125 [0.03137, 0.05113]; t0=-33.7 [-41.13, -26.27]"
zoo_height_cm_by_sex,height_cm,M,3,gompertz,328.8579809291847,20.207999210734272,4.09030372147618e-05,17866.32220718451,56,,"A=486.5 [456.9, 516.1]; k=0.04515 [0.03438, 0.05591]; t0=-3.673 [-5.008, -2.338]"
zoo_height_cm_by_sex,height_cm,M,4,richards,330.96111604904405,22.31113433059363,1.4291097056111853e-05,17899.25690580981,56,,"A=486.5 [449.5, 523.4]; k=0.04526 [0.01267, 0.07785]; t0=-3.579 [-25.95, 18.79]; nu=0.01 [-2.31, 2.33]"
zoo_height_cm_by_sex,height_cm,M,5,logistic,337.7292970589718,29.07931534052136,4.845892059108186e-07,20933.14649220603,56,,"A=479.7 [450, 509.4]; k=0.05699 [0.04357, 0.07042]; t0=4.172 [1.687, 6.657]"
zoo_height_cm_overall,height_cm,overall,1,von_bertalanffy,472.1039088873944,0.0,0.6333343291747591,32764.567124726364,77,,"A=481.2 [454.3, 508.1]; k=0.03849 [0.03122, 0.04576]; t0=-36.1 [-42.31, -29.88]"
zoo_height_cm_overall,height_cm,overall,2,gompertz,474.5533067247996,2.449397837405172,0.18610285973052393,33823.57425074308,77,✓,"A=479.4 [452.7, 506]; k=0.04203 [0.03435, 0.04972]; t0=-3.841 [-5.266, -2.415]"
zoo_height_cm_overall,height_cm,overall,3,poly3,475.6480245938928,3.54411570649836,0.107655960940038,33428.2420023542,77,,a3=0.0001117; a2=-0.05073; a1=6.923; a0=206.2
zoo_height_cm_overall,height_cm,overall,4,richards,476.6249279772198,4.521019089825359,0.06605507765584853,33855.04975375479,77,,"A=479.3 [448.2, 510.4]; k=0.04214 [0.01482, 0.06947]; t0=-3.737 [-26.3, 18.83]; nu=0.01 [-2.142, 2.162]"
zoo_height_cm_overall,height_cm,overall,5,logistic,481.1568910296169,9.052982142222447,0.006851772498830453,36852.33042739245,77,,"A=474.4 [448.2, 500.5]; k=0.05359 [0.04453, 0.06264]; t0=4.727 [2.394, 7.061]"
