file,AID,MinAge,Sex,VTB_Umb,survey index,SurveyDate(M/D/Y),avg TOO_TOHcm,SD TOO_TOHcm,# TOO_TOH,avg TOO_NIcm,SD TOO_NIcm,avg TOH_NIcm,SD TOH_NIcm,# TOH_NI,avg NI_FBHcm,SD NI_FBHcm,# NI_FBH,avg TOO_FBHcm,SD TOO_FBHcm,avg TOH_FBHcm,SD TOH_FBHcm,,,,,
2012FEB.IMG_0041.JPG,12,A,F,,1.2,2/7/2012,11.2,1.5,3,183.1,3.7,173.3,3.6,3,,,,,,,,,,,,
2012May.IMG_3016.JPG,12,A,F,,2.1,5/20/2012,16.5,9.2,3,185.2,1.1,177.5,2.1,3,,,,,,,,,,,,
2012May.IMG_3036.JPG,12,A,F,,2.1,5/20/2012,13.0,2.0,4,188.0,8.1,178.8,8.0,4,,,,,,,,,,,,
2012Oct.IMG_6888.JPG,12,A,F,,3.2,10/9/2012,11.5,2.7,5,201.3,7.8,189.0,9.8,6,,,,,,,,,,,,
2013sep.IMG_5902.JPG,12,A,F,,6.1,9/22/2013,15.1,6.4,5,196.2,1.6,183.0,8.2,5,211.7,3.8,3,408.3,5.1,397.5,5.7,,,,,
2014FebIMG_1035.JPG,12,A,F,,7.2,2/9/2014,14.2,4.1,4,195.1,6.4,183.7,3.9,4,,,,,,,,,,,,
2015Jun_383A3287.JPG,12,A,F,,11.2,6/3/2015,13.3,4.1,5,183.4,3.7,173.9,3.2,5,,,,,,,,,,,,
2015Jun_383A3294.JPG,12,A,F,,11.2,6/3/2015,15.7,5.4,4,158.8,1.4,145.3,5.6,4,,,,,,,,,,,,
2016May_383A1374.JPG,12,A,F,,14.1,5/14/2016,15.9,7.3,3,202.9,1.1,193.5,1.0,3,,,,,,,,,,,,
2016May_383A1382.JPG,12,A,F,,14.1,5/14/2016,14.7,4.5,5,194.3,1.6,185.1,3.7,5,,,,,,,,,,,,
2017Jan_383A6744.JPG,12,A,F,,16.1,1/22/2017,14.9,3.1,5,203.1,3.1,192.1,3.3,5,,,,,,,,,,,,
